algorithm,coverage,cost_per_coverage,radius,time
bad_greedy,100,4.13,18,1
k=1,100,0.37,18,18
k=2,100,0.36,18,797
greedy,100,0.37,18,3
random,100,4.34,18,0
bad_greedy,100,4.34,18,1
k=1,100,0.32,18,18
k=2,100,0.32,18,867
greedy,100,1.08,13,3
random,100,4.72,13,0
bad_greedy,100,4.72,13,1
k=1,100,1.03,13,27
k=2,100,1,13,1316
greedy,100,0.79,13,3
random,100,4.41,13,0
bad_greedy,100,4.41,13,1
k=1,100,0.76,13,28
k=2,100,0.72,13,1313
greedy,100,0.83,13,4
random,100,4.52,13,0
bad_greedy,100,4.52,13,1
k=1,100,0.77,13,25
