algorithm,budget,coverage,cost_per_coverage,time
k=1,1400,61,22.5574,48
k=2,1400,61,22.3279,2405
greedy,1400,60,23.1333,3
random,1400,33,42.3939,0
bad_greedy,1400,38,35.2105,1
k=1,1400,60,23.05,50
k=2,1400,60,23.05,2541
greedy,1400,66,20.7273,3
random,1400,29,47.2414,0
bad_greedy,1400,42,31.2381,1
k=1,1400,66,20.7273,50
k=2,1400,66,20.7273,2440
greedy,1400,59,23.2034,3
random,1400,23,58.8696,0
bad_greedy,1400,36,38.3056,1
k=1,1400,59,23.2034,52
k=2,1400,59,23.2034,2549
greedy,1400,61,22.5082,3
random,1400,25,55.4,0
bad_greedy,1400,33,40.6061,1
k=1,1400,61,22.5082,48
k=2,1400,61,22.5082,2399
greedy,1400,59,22.9492,3
random,1400,35,39.5429,0
